===========================================================================
📡 IPTV 酒店源测速报告 | 时间: 2026-07-05 03:56:34
===========================================================================
服务器 (IP:Port)             | 频道              | 速度           | 稳定性
1.196.157.101:999         | CCTV5           |    9.2 Mbps |   0%
14.155.136.125:8088       | 南方卫视            |   0.06 Mbps |   0%
14.155.136.125:8088       | CCTV13新闻        |   0.07 Mbps |  92%
106.115.24.180:9901       | CCTV14          |   0.38 Mbps | 100%
106.115.24.180:9901       | CCTV9           |   0.29 Mbps | 100%
106.115.24.196:9901       | CCTV11          |   0.14 Mbps | 100%
106.115.24.196:9901       | CCTV14          |   0.16 Mbps | 100%
144.0.23.25:8085          | 黑龙江卫视           |    9.7 Mbps |   0%
144.0.23.25:8085          | 齐鲁              |   9.02 Mbps |   0%
144.0.23.2:8085           | 金鹰卡通            |   8.85 Mbps |  82%
144.0.23.2:8085           | CCTV7           |  10.24 Mbps |  12%
144.0.23.90:8085          | CCTV13          |   3.22 Mbps | 100%
144.0.23.90:8085          | 优漫卡通            |   0.55 Mbps | 100%
119.39.198.23:808         | CCTV4中文国际       |   3.29 Mbps |   0%
119.39.198.23:808         | CCTV7国防军事       |   4.02 Mbps |  83%
119.39.198.207:808        | 黑龙江卫视           |    3.9 Mbps |   0%
119.39.198.207:808        | 东南卫视            |   3.36 Mbps |   0%
1.192.153.101:9901        | 广西卫视            |   8.34 Mbps |   0%
1.192.153.101:9901        | 河南新闻频道          |   8.16 Mbps |   0%
218.19.108.104:808        | CCTV4中文国际       |  10.23 Mbps |   0%
218.19.108.104:808        | CCTV1综合         |   6.36 Mbps |   0%
219.156.24.153:8888       | CCTV5体育         |   2.89 Mbps | 100%
219.156.24.153:8888       | CCTV1综合         |   1.45 Mbps | 100%
125.44.165.229:8888       | CCTV14          |   9.64 Mbps |   0%
125.44.165.229:8888       | 深圳卫视            |   9.08 Mbps |  35%
171.11.199.252:5000       | 东南卫视            |   3.21 Mbps | 100%
171.11.199.252:5000       | 甘肃              |   3.22 Mbps | 100%
113.88.210.133:9898       | CCTV11戏曲        |   5.34 Mbps |   0%
113.88.210.133:9898       | 西藏卫视            |   5.43 Mbps |   0%
182.117.192.177:8888      | CCTV15音乐        |  10.63 Mbps |  32%
182.117.192.177:8888      | CCTV3综艺         |   9.76 Mbps |   5%
182.117.192.204:8888      | CCTV6电影         |   10.1 Mbps |  12%
182.117.192.204:8888      | CCTV5+体育赛事      |  10.43 Mbps |  23%
36.48.107.137:8082        | 四川卫视            |   8.31 Mbps |   0%
36.48.107.137:8082        | CCTV6电影         |   8.32 Mbps |  91%
58.255.201.60:808         | 广东经济科教          |   8.96 Mbps |  33%
58.255.201.60:808         | CCTV1           |   8.99 Mbps |   0%
183.21.68.198:3388        | 东南卫视            |   8.64 Mbps |  94%
183.21.68.198:3388        | 经典电影            |   1.37 Mbps |  58%
123.14.83.38:8888         | 北京卫视            |   3.45 Mbps | 100%
123.14.83.38:8888         | CCTV4           |   0.95 Mbps | 100%
171.38.218.148:8082       | 湖南卫视            |    1.0 Mbps | 100%
171.38.218.148:8082       | 广东珠江频道          |   0.73 Mbps | 100%
171.8.231.243:9901        | 陕西卫视            |   8.31 Mbps |   0%
171.8.231.243:9901        | CCTV11          |   4.26 Mbps |   0%
42.49.176.185:808         | 中央十一台           |   7.51 Mbps |   0%
42.49.176.185:808         | 中央十二台           |   8.95 Mbps |   0%
171.38.219.35:8082        | 山东卫视            |   1.27 Mbps | 100%
171.38.219.35:8082        | 天津卫视            |   0.28 Mbps | 100%
171.38.145.95:8082        | 宁夏卫视            |   0.36 Mbps | 100%
42.237.159.36:8888        | 卡酷少儿            |   3.77 Mbps |  94%
171.38.222.218:8082       | 广西乐思购           |   0.82 Mbps | 100%
171.38.222.218:8082       | 广西卫视            |   0.73 Mbps | 100%
14.155.143.210:8088       | 浙江卫视            |   1.57 Mbps | 100%
14.155.143.210:8088       | 江苏卫视            |   0.59 Mbps | 100%

📊 综合汇总 (Summary):
113.200.114.168:20000     | 有效频道:2 | 平均:  5.2 Mbps
60.187.247.181:9901       | 有效频道:2 | 平均: 3.75 Mbps
122.114.131.154:4000      | 有效频道:1 | 平均: 2.62 Mbps
ah2.sohu.blog:8000        | 有效频道:2 | 平均:  0.4 Mbps
220.187.223.171:9901      | 有效频道:2 | 平均: 4.96 Mbps
101.66.198.167:9901       | 有效频道:2 | 平均: 7.04 Mbps
182.150.31.44:808         | 有效频道:1 | 平均: 3.73 Mbps
219.139.124.61:8089       | 有效频道:2 | 平均: 8.78 Mbps
120.198.84.146:9901       | 有效频道:2 | 平均: 5.78 Mbps
122.114.131.154:4007      | 有效频道:2 | 平均: 1.42 Mbps
122.114.131.154:4001      | 有效频道:2 | 平均: 0.32 Mbps
106.44.226.206:88         | 有效频道:2 | 平均: 7.34 Mbps
183.237.71.182:40000      | 有效频道:2 | 平均: 2.16 Mbps
139.214.182.186:9901      | 有效频道:1 | 平均: 0.17 Mbps
106.115.26.84:9901        | 有效频道:2 | 平均: 0.98 Mbps
60.187.244.93:9901        | 有效频道:2 | 平均: 6.14 Mbps
221.232.196.188:7777      | 有效频道:2 | 平均: 3.91 Mbps
139.214.176.44:9901       | 有效频道:1 | 平均: 0.17 Mbps
101.66.198.252:9901       | 有效频道:2 | 平均:  4.3 Mbps
101.66.194.151:9901       | 有效频道:2 | 平均: 4.46 Mbps
221.232.197.109:7777      | 有效频道:2 | 平均: 5.68 Mbps
60.174.86.121:5080        | 有效频道:2 | 平均: 5.17 Mbps
101.95.21.250:10081       | 有效频道:2 | 平均: 0.39 Mbps
hmfs.f3322.net:3388       | 有效频道:2 | 平均: 2.66 Mbps
116.228.170.214:888       | 有效频道:2 | 平均: 0.36 Mbps
59.45.161.118:8877        | 有效频道:2 | 平均: 5.24 Mbps
1.192.152.63:9901         | 有效频道:2 | 平均: 2.15 Mbps
112.27.5.218:9901         | 有效频道:2 | 平均: 3.37 Mbps
123.149.41.216:9901       | 有效频道:2 | 平均: 3.38 Mbps
221.14.142.118:9003       | 有效频道:2 | 平均: 9.38 Mbps
221.232.197.144:7777      | 有效频道:2 | 平均: 4.74 Mbps
60.187.244.206:9901       | 有效频道:2 | 平均: 6.84 Mbps
39.164.138.145:9003       | 有效频道:2 | 平均: 0.32 Mbps
120.224.84.170:8085       | 有效频道:2 | 平均: 7.25 Mbps
139.214.176.39:9901       | 有效频道:2 | 平均: 0.08 Mbps
221.232.199.103:7777      | 有效频道:2 | 平均:  4.0 Mbps
123.149.40.139:9901       | 有效频道:2 | 平均: 2.35 Mbps
120.198.86.186:9901       | 有效频道:2 | 平均: 1.84 Mbps
120.209.208.163:5080      | 有效频道:2 | 平均: 7.05 Mbps
124.88.238.50:82          | 有效频道:2 | 平均: 4.08 Mbps
120.198.103.68:9901       | 有效频道:2 | 平均: 1.24 Mbps
110.72.71.160:8181        | 有效频道:1 | 平均:  7.6 Mbps
183.129.255.66:8480       | 有效频道:2 | 平均: 2.21 Mbps
221.232.196.154:7777      | 有效频道:2 | 平均: 4.62 Mbps
119.36.6.89:1111          | 有效频道:2 | 平均: 0.51 Mbps
122.114.131.154:4021      | 有效频道:2 | 平均: 1.48 Mbps
61.163.179.201:808        | 有效频道:2 | 平均: 8.79 Mbps
221.232.199.81:7777       | 有效频道:2 | 平均: 3.29 Mbps
60.16.0.36:5757           | 有效频道:2 | 平均: 9.39 Mbps
123.149.41.12:9901        | 有效频道:2 | 平均: 3.36 Mbps
139.214.182.224:9901      | 有效频道:1 | 平均: 1.76 Mbps
101.66.195.209:9901       | 有效频道:1 | 平均: 4.69 Mbps
112.27.235.94:8000        | 有效频道:2 | 平均: 0.75 Mbps
221.232.196.19:7777       | 有效频道:2 | 平均: 2.05 Mbps
1.24.39.180:808           | 有效频道:2 | 平均: 9.18 Mbps
122.114.131.154:4018      | 有效频道:2 | 平均: 1.08 Mbps
39.105.190.112:8009       | 有效频道:2 | 平均: 2.61 Mbps
122.114.131.154:4103      | 有效频道:1 | 平均:  1.5 Mbps
221.232.198.181:7777      | 有效频道:2 | 平均:  1.6 Mbps
106.46.169.202:9000       | 有效频道:2 | 平均: 9.48 Mbps
27.129.145.110:4433       | 有效频道:1 | 平均: 0.35 Mbps
61.185.200.57:9901        | 有效频道:2 | 平均: 2.21 Mbps
39.164.138.145:8899       | 有效频道:2 | 平均: 0.28 Mbps
111.14.186.11:5009        | 有效频道:2 | 平均:12.49 Mbps
221.232.198.116:7777      | 有效频道:2 | 平均: 4.92 Mbps
101.66.199.118:9901       | 有效频道:2 | 平均: 4.99 Mbps
220.187.218.41:9901       | 有效频道:1 | 平均: 7.14 Mbps
106.115.27.177:9901       | 有效频道:2 | 平均: 0.32 Mbps
183.236.10.36:8083        | 有效频道:2 | 平均: 1.74 Mbps
221.232.199.185:7777      | 有效频道:1 | 平均: 0.08 Mbps
110.72.71.208:8181        | 有效频道:1 | 平均: 8.37 Mbps
101.66.199.29:9901        | 有效频道:2 | 平均: 2.05 Mbps
221.232.197.122:7777      | 有效频道:2 | 平均: 3.12 Mbps
222.85.198.92:8000        | 有效频道:2 | 平均: 0.81 Mbps
61.182.89.14:808          | 有效频道:2 | 平均: 7.44 Mbps
122.114.131.154:4060      | 有效频道:1 | 平均: 0.65 Mbps
106.115.25.21:9901        | 有效频道:2 | 平均:  0.4 Mbps
183.129.211.142:808       | 有效频道:2 | 平均: 0.63 Mbps
139.208.190.209:9901      | 有效频道:2 | 平均: 3.17 Mbps
124.88.238.50:81          | 有效频道:1 | 平均: 3.49 Mbps
106.115.27.179:9901       | 有效频道:1 | 平均: 0.12 Mbps
221.14.142.118:8000       | 有效频道:2 | 平均: 6.31 Mbps
101.66.194.186:9901       | 有效频道:2 | 平均: 1.38 Mbps
61.138.82.196:808         | 有效频道:2 | 平均: 6.99 Mbps
171.15.150.234:9999       | 有效频道:1 | 平均: 0.34 Mbps
125.46.177.231:60000      | 有效频道:2 | 平均:10.08 Mbps
222.142.184.247:8888      | 有效频道:2 | 平均: 9.75 Mbps
14.106.99.3:888           | 有效频道:2 | 平均:  5.8 Mbps
1.196.157.101:999         | 有效频道:2 | 平均: 9.11 Mbps
14.155.136.125:8088       | 有效频道:2 | 平均: 0.07 Mbps
106.115.24.180:9901       | 有效频道:2 | 平均: 0.33 Mbps
106.115.24.196:9901       | 有效频道:2 | 平均: 0.15 Mbps
144.0.23.25:8085          | 有效频道:2 | 平均: 9.36 Mbps
144.0.23.2:8085           | 有效频道:2 | 平均: 9.54 Mbps
144.0.23.90:8085          | 有效频道:2 | 平均: 1.89 Mbps
119.39.198.23:808         | 有效频道:2 | 平均: 3.65 Mbps
119.39.198.207:808        | 有效频道:2 | 平均: 3.63 Mbps
1.192.153.101:9901        | 有效频道:2 | 平均: 8.25 Mbps
218.19.108.104:808        | 有效频道:2 | 平均: 8.29 Mbps
219.156.24.153:8888       | 有效频道:2 | 平均: 2.17 Mbps
125.44.165.229:8888       | 有效频道:2 | 平均: 9.36 Mbps
171.11.199.252:5000       | 有效频道:2 | 平均: 3.21 Mbps
113.88.210.133:9898       | 有效频道:2 | 平均: 5.38 Mbps
182.117.192.177:8888      | 有效频道:2 | 平均: 10.2 Mbps
182.117.192.204:8888      | 有效频道:2 | 平均:10.27 Mbps
36.48.107.137:8082        | 有效频道:2 | 平均: 8.32 Mbps
58.255.201.60:808         | 有效频道:2 | 平均: 8.98 Mbps
183.21.68.198:3388        | 有效频道:2 | 平均: 5.01 Mbps
123.14.83.38:8888         | 有效频道:2 | 平均:  2.2 Mbps
171.38.218.148:8082       | 有效频道:2 | 平均: 0.86 Mbps
171.8.231.243:9901        | 有效频道:2 | 平均: 6.29 Mbps
42.49.176.185:808         | 有效频道:2 | 平均: 8.23 Mbps
171.38.219.35:8082        | 有效频道:2 | 平均: 0.78 Mbps
171.38.145.95:8082        | 有效频道:1 | 平均: 0.36 Mbps
42.237.159.36:8888        | 有效频道:1 | 平均: 3.77 Mbps
171.38.222.218:8082       | 有效频道:2 | 平均: 0.77 Mbps
14.155.143.210:8088       | 有效频道:2 | 平均: 1.08 Mbps
